,word,positive,negative,p_early,n_early,p_late,n_late
803,demosthenes,101,28,29,4,11,2
804,quoted,121,41,20,11,26,9
805,fails,95,45,20,9,14,5
806,world,906,129,152,25,195,22
807,sicily,67,5,9,1,21,1
808,46,48,22,10,4,5,4
809,breadth,73,10,9,2,26,2
810,parts,334,64,50,8,82,12
811,attention,610,115,90,16,160,20
812,elements,258,61,48,10,55,10
813,balanced,96,15,23,6,17,2
814,suggests,362,107,74,18,66,24
815,bibliographies,88,10,11,0,24,6
816,fragmentary,90,20,9,4,25,6
817,offer,441,70,62,11,114,12
818,needed,150,43,34,8,21,6
819,status,225,60,40,17,48,9
820,year,108,38,22,4,16,6
821,le,102,22,11,3,33,4
822,higher,52,17,14,5,11,2
823,verb,99,34,20,6,18,5
824,nature,671,148,112,24,126,25
825,style,428,133,85,19,74,24
826,theme,242,48,36,10,41,5
827,treatment,596,111,110,23,138,14
828,actually,236,99,41,19,48,16
829,twice,29,24,2,3,4,3
830,richard,79,17,16,2,16,3
831,altogether,57,25,11,5,8,3
832,addition,564,78,96,14,136,13
833,direct,173,40,24,7,53,10
834,represented,122,23,21,4,30,4
835,final,399,102,59,13,91,19
836,dead,81,22,22,7,14,3
837,regional,71,12,9,2,20,3
838,describes,139,28,22,7,22,4
839,slaves,115,40,27,9,32,7
840,dates,99,24,24,2,15,6
841,thematic,109,23,7,1,34,5
842,literature,862,118,144,26,160,27
843,following,349,146,48,23,71,21
844,professor,71,6,14,1,15,1
845,assumes,57,21,14,3,6,1
846,keep,83,28,11,5,24,4
847,42,39,20,7,2,7,4
848,epigram,69,7,9,2,16,0
849,careful,293,64,64,14,61,15
850,suggesting,74,21,5,1,21,4
851,time,1050,206,172,37,216,41
852,make,1111,252,194,51,224,39
853,references,554,157,74,21,103,26
854,n4,315,94,49,13,84,25
855,publication,304,60,34,8,87,18
856,false,69,31,14,5,15,3
857,gods,278,83,55,16,59,17
858,categories,140,33,24,5,26,6
859,insight,159,15,30,3,40,5
860,printed,133,50,18,5,25,13
861,insights,303,25,48,7,88,3
862,praise,94,17,12,4,14,3
863,studying,111,9,27,1,23,1
864,answer,133,33,23,4,31,8
865,tell,91,26,22,9,11,0
866,heroic,88,22,21,2,18,5
867,g,67,19,15,7,1,1
868,carefully,197,51,39,7,36,12
869,providing,318,42,51,4,74,10
870,49,43,18,7,4,5,2
871,locorum,116,13,17,2,18,5
872,data,304,40,37,2,85,7
873,socrates,503,133,90,25,88,12
874,required,105,29,14,8,22,6
875,misprints,42,49,8,7,9,5
876,communities,84,10,8,1,26,3
877,wealth,190,18,36,1,41,5
878,xenophon,136,40,28,6,13,4
879,students,1137,125,196,27,259,31
880,nero,48,24,8,7,3,3
881,interests,148,24,19,5,31,7
882,religious,351,60,37,12,96,13
883,showing,231,37,37,10,46,7
884,characterization,74,16,16,5,17,2
885,spot,14,19,0,3,4,2
886,field,459,44,71,7,114,10
887,things,454,61,91,18,58,7
888,principal,88,26,10,5,19,4
889,difficulty,87,35,23,8,17,5
890,conclude,126,18,15,1,25,0
891,slips,18,28,5,1,2,7
892,objects,198,27,24,7,64,6
893,c,133,35,43,10,15,5
894,act,121,36,19,2,20,5
895,writes,118,16,16,1,27,2
896,repetition,57,36,6,8,8,6
897,books,408,79,73,11,79,14
898,behind,137,31,18,10,28,7
899,highlight,67,6,6,1,16,0
900,longer,131,44,20,5,32,5
901,furthermore,89,38,12,7,25,10
902,expert,70,10,5,3,20,0
903,negative,311,44,45,9,73,8
904,older,76,25,10,6,16,4
905,statements,88,47,15,13,10,8
906,stresses,169,24,23,5,34,6
907,turns,123,34,18,6,27,6
908,vergil,116,22,24,4,16,2
909,italy,185,28,18,5,47,7
910,democratic,83,30,11,8,16,6
911,possibly,103,25,18,4,16,6
912,capacity,52,20,10,3,9,4
913,writing,367,99,70,14,82,15
914,christian,455,87,58,9,122,19
915,properly,70,23,7,4,16,3
916,distracting,21,21,6,4,3,7
917,appear,259,98,44,15,48,24
918,whose,455,120,69,23,86,19
919,k.,221,66,50,15,6,1
920,non-specialist,79,14,8,3,21,3
921,plan,74,27,15,4,15,6
922,instead,307,198,39,29,79,44
923,allow,129,20,20,7,32,2
924,addressed,85,25,11,4,24,5
925,admit,45,19,10,4,7,4
926,section,981,176,148,33,204,27
927,r.,409,89,87,18,17,4
928,ages,90,20,11,1,19,2
929,direction,76,15,14,4,18,2
930,detail,373,78,62,8,90,15
931,expectations,49,24,7,3,14,6
932,goes,198,42,42,4,38,10
933,discussions,442,51,91,6,109,8
934,moreover,203,55,36,10,38,10
935,neither,191,55,40,13,38,8
936,letters,296,67,44,18,66,11
937,speech,309,83,64,16,56,21
938,vii,56,21,12,5,9,5
939,anyone,365,47,58,5,92,15
940,gives,606,83,112,15,127,17
941,provided,451,36,54,5,93,9
942,difference,146,38,27,6,34,4
943,metaphysics,72,12,9,2,19,1
944,gloss,21,19,5,5,1,2
945,regarding,221,39,27,4,49,8
946,rather,1373,460,250,102,264,96
947,common,356,116,43,13,83,21
948,information,939,122,149,19,211,18
949,politics,259,55,43,12,48,11
950,patterns,102,30,18,8,23,5
951,present,625,127,92,19,149,24
952,help,321,44,71,9,54,8
953,c.,470,128,130,34,29,7
954,kinds,109,27,20,6,27,3
955,divine,224,60,29,8,55,13
956,des,134,26,20,5,22,8
957,113,28,18,6,4,4,2
958,however,1281,512,198,107,259,85
959,genre,283,57,55,7,50,11
960,examination,203,28,39,5,41,7
961,comparable,51,19,6,8,7,3
962,mark,95,28,25,7,16,3
963,attributes,48,18,13,5,7,3
964,assume,84,39,19,7,12,8
965,line,395,277,75,51,57,35
966,similarly,124,37,19,7,27,6
967,words,516,196,86,41,113,28
968,doctrine,94,17,12,5,15,4
969,cf,228,91,50,18,33,13
970,expression,127,36,25,6,25,4
971,opposition,77,23,11,3,18,3
972,notable,57,36,6,6,10,10
973,base,49,17,5,5,10,1
974,facts,97,30,13,9,19,7
975,entries,134,45,14,5,27,10
976,note,576,231,117,39,103,38
977,representation,158,36,25,5,37,9
978,troy,58,19,7,2,16,7
979,marriage,114,27,20,5,15,2
980,test,63,20,12,3,10,2
981,classicists,192,23,41,6,32,4
982,108,19,20,1,2,4,2
983,people,375,102,53,13,71,24
984,argues,625,182,96,27,144,38
985,brings,207,27,36,4,42,6
986,content,195,66,29,7,33,15
987,editor,194,73,31,12,41,21
988,philip,78,15,12,3,16,2
989,accounts,190,47,35,6,32,13
990,relationships,119,17,23,2,33,6
991,toward,161,36,30,2,36,10
992,cults,86,14,9,0,18,5
993,writings,153,28,26,7,34,3
994,precisely,158,50,24,6,30,13
995,someone,122,24,19,4,21,6
996,iii,144,46,26,12,30,7
997,library,108,17,20,0,23,4
998,shortcomings,44,24,9,2,9,6
999,activities,120,17,25,5,24,2
1000,taking,155,30,16,3,35,6
1001,considering,107,37,10,7,22,8
1002,medicine,98,17,7,1,15,2
1003,poetic,238,42,41,9,44,5
1004,unique,96,14,15,3,27,2
1005,rational,69,14,6,1,11,1
1006,r,106,35,8,5,9,0
1007,archaic,219,49,34,11,56,3
1008,/b,107,19,15,0,0,0
1009,quibble,28,17,3,1,5,5
1010,purpose,191,57,30,8,37,14
1011,efforts,81,29,13,4,7,9
1012,structure,314,77,64,13,63,11
1013,paragraph,64,56,9,10,7,8
1014,rendered,39,26,7,4,9,4
1015,blame,23,20,2,3,3,5
1016,poem,501,106,90,26,75,15
1017,;,6080,2394,1150,449,1117,428
1018,julian,48,18,7,5,5,2
1019,comparisons,131,16,23,4,28,2
1020,addresses,95,17,16,2,26,5
1021,d.,354,113,93,39,26,7
1022,zeus,56,17,9,8,6,2
1023,three,738,180,110,30,146,40
1024,including,559,97,91,15,157,20
1025,exploration,99,11,12,3,24,3
1026,convince,34,23,8,4,9,4
1027,concise,183,12,34,3,42,3
1028,reader,1360,282,223,64,271,41
1029,primary,267,54,32,6,56,8
1030,short,509,95,84,16,112,23
1031,closely,118,23,25,5,20,3
1032,documents,136,26,23,6,33,4
1033,agamemnon,62,18,9,4,8,0
1034,action,164,56,22,4,32,10
1035,provocative,121,14,31,2,24,1
1036,exegesis,78,13,7,0,19,3
1037,repetitive,15,19,3,3,2,7
1038,confusion,57,63,12,14,11,12
1039,evaluation,88,13,17,5,22,1
1040,questions,645,76,78,16,150,11
1041,britain,58,23,9,0,9,6
1042,plutarch,241,45,49,9,48,7
1043,surrounding,74,10,9,2,11,1
1044,ovid,331,111,75,21,38,17
1045,areas,228,35,26,5,54,12
1046,lot,117,27,22,7,22,2
1047,recognition,60,22,8,5,18,5
1048,sea,107,23,15,1,24,6
1049,hard,171,45,43,4,30,12
1050,galen,95,15,16,5,7,0
1051,monuments,129,20,26,5,40,3
1052,proper,173,47,25,14,33,9
1053,metrical,77,15,16,1,16,4
1054,case,1039,270,188,49,211,54
1055,hardly,160,62,35,10,22,9
1056,nicely,61,17,8,2,8,3
1057,admittedly,44,30,4,3,10,9
1058,reflected,66,19,8,0,23,4
1059,publisher,39,36,5,6,7,6
1060,republic,316,47,55,9,74,7
1061,pieces,192,25,30,3,61,5
1062,seen,310,61,74,14,48,7
1063,b.,372,98,110,41,10,3
1064,rome,636,159,107,27,115,21
1065,truly,121,21,21,2,24,4
1066,'i,45,25,5,6,4,4
1067,compare,103,9,23,3,24,0
1068,statue,68,20,14,5,11,3
1069,scholars,1098,199,134,38,266,38
1070,lively,78,11,6,1,18,2
1071,cognitive,40,17,14,3,10,7
1072,classical,878,134,136,30,199,35
1073,1998,64,26,19,11,5,3
1074,room,78,14,11,4,18,3
1075,woman,105,33,16,6,9,1
1076,earlier,537,136,101,31,106,28
1077,despite,394,112,78,22,86,22
1078,contains,456,103,87,16,99,19
1079,work,2589,446,412,92,596,88
1080,fashion,84,13,18,4,15,1
1081,materials,150,16,19,1,39,4
1082,previous,329,78,57,14,79,13
1083,democracy,124,32,21,10,21,7
1084,secondary,187,44,40,4,32,7
1085,intelligent,83,6,13,0,15,1
1086,missed,56,21,13,3,7,2
1087,undermine,12,20,1,5,3,6
1088,quotation,80,59,15,5,12,7
1089,classroom,75,9,11,0,23,2
1090,marred,22,37,4,3,4,7
1091,formatting,10,27,1,4,2,8
1092,sixth,82,18,13,1,15,4
1093,gets,74,13,14,1,13,1
1094,??,12,20,8,4,1,2
1095,gain,86,9,18,2,20,1
1096,unlikely,67,22,19,2,8,4
1097,includes,458,52,77,8,121,7
1098,conservative,40,21,5,5,7,3
1099,dialogues,185,41,48,4,30,5
1100,o.,81,15,19,5,5,0
1101,long,489,141,83,19,97,37
1102,allusions,84,20,13,2,16,1
1103,date,273,63,53,10,48,13
1104,independent,82,20,17,2,10,4
1105,site,206,32,36,3,46,11
1106,slavitt,16,25,3,1,2,0
1107,compelling,100,19,21,4,27,3
1108,intended,217,67,33,10,44,8
1109,possibilities,69,7,9,0,14,2
1110,wrote,104,28,21,5,16,4
1111,surviving,80,16,12,3,19,2
1112,sacred,84,15,8,4,20,2
1113,answers,85,20,11,3,24,2
1114,poetry,627,110,87,16,126,14
1115,exposition,103,17,22,2,19,4
1116,bc,167,55,15,7,32,18
1117,tend,61,22,11,4,14,6
1118,teach,73,5,12,1,13,0
1119,believe,205,42,37,7,34,6
1120,definition,171,52,27,6,37,12
1121,inspired,55,21,7,3,18,6
1122,abstract,63,17,12,2,15,5
1123,strongly,72,15,12,0,17,3
1124,environment,72,11,5,4,14,2
1125,document,68,12,15,1,9,1
1126,clear,808,136,152,29,162,22
1127,totally,29,21,5,4,10,3
1128,finally,285,79,43,16,62,17
1129,tendency,102,48,19,4,20,6
1130,greek,6042,2000,1483,470,1240,418
1131,conclusions,383,89,64,13,77,22
1132,phrase,120,52,24,10,16,11
1133,athenian,414,113,68,33,90,16
1134,8,296,114,48,22,58,27
1135,church,117,24,13,3,28,5
1136,comic,106,39,18,13,23,5
1137,concerned,195,44,45,9,35,6
1138,comparing,49,18,6,6,10,1
1139,took,94,29,12,7,21,6
1140,east,187,20,27,2,49,4
1141,perceived,53,27,9,2,10,5
1142,preceding,71,22,10,0,14,5
1143,conventions,71,12,13,0,16,5
1144,wishes,69,12,15,1,13,0
1145,included,318,59,46,7,65,17
1146,cities,183,44,30,12,36,11
1147,lucid,106,19,17,3,26,8
1148,map,157,26,28,7,36,4
1149,service,141,21,21,3,26,3
1150,introduced,77,30,13,10,17,4
1151,allows,174,38,27,6,37,9
1152,discussed,332,66,48,11,81,18
1153,cambridge,158,23,23,5,38,2
1154,intriguing,72,12,12,1,14,3
1155,press,129,37,20,6,17,6
1156,tables,126,17,17,4,40,2
1157,?,710,193,111,44,182,30
1158,arise,41,18,8,7,9,4
1159,developed,158,23,22,4,42,6
1160,la,238,38,18,7,67,8
1161,de,718,157,85,16,188,47
1162,explanations,127,39,14,3,43,9
1163,indices,221,21,29,1,62,4
1164,responsible,45,24,8,7,10,3
1165,commentaries,249,23,43,0,44,9
1166,ambitious,72,10,16,2,16,3
1167,overall,418,91,56,18,100,24
1168,m.,609,164,147,61,25,6
1169,interest,563,74,108,9,121,11
1170,odyssey,130,34,25,10,23,7
1171,consistency,40,21,6,3,5,6
1172,l.,394,154,114,27,17,22
1173,''a,57,19,4,2,22,6
1174,rigorous,44,18,5,2,11,6
1175,allusion,69,27,13,7,10,1
1176,analysis,1201,176,182,32,270,35
1177,sentence,101,82,23,11,13,18
1178,echoes,38,17,5,2,7,7
1179,process,230,72,40,12,49,15
1180,sophocles,115,25,32,6,9,2
1181,surprising,110,79,19,12,23,17
1182,m,105,43,24,3,3,4
1183,aeschylus,94,20,17,4,16,2
1184,influence,319,68,36,10,66,13
1185,platonic,193,28,32,7,53,6
1186,american,100,27,16,3,15,8
1187,concerning,275,56,53,9,59,12
1188,challenge,93,23,9,3,24,7
1189,documentation,93,10,14,0,12,2
1190,slavery,84,26,8,4,34,1
1191,function,223,40,44,8,43,8
1192,share,79,20,15,3,14,5
1193,arrangement,78,13,10,1,16,1
1194,thing,203,33,47,6,30,6
1195,n3,384,98,49,11,104,30
1196,motifs,67,7,9,2,18,1
1197,reported,42,18,8,2,4,2
1198,stage,142,40,27,8,32,9
1199,usual,101,31,15,7,18,7
1200,...,620,220,182,64,32,11
1201,size,89,23,3,4,22,3
1202,opinion,228,61,49,13,45,9
1203,sexuality,73,17,11,2,18,1
1204,report,82,21,12,1,19,5
1205,referring,70,23,21,4,12,2
1206,italics,16,22,2,4,4,4
1207,periods,150,36,23,2,38,7
1208,printing,33,57,6,13,7,10
1209,t5,278,74,44,7,66,20
1210,attributed,87,34,14,4,20,7
1211,define,71,19,11,2,13,7
1212,70,41,18,9,3,8,3
1213,reasonable,97,20,25,6,18,5
1214,tool,310,22,42,8,78,6
1215,based,376,112,61,15,83,23
1216,develop,77,15,17,3,17,2
1217,inconsistency,20,25,6,3,3,5
1218,arguments,603,178,115,32,127,30
1219,two,1678,483,256,78,365,73
1220,transmission,111,30,20,5,19,1
1221,mere,78,33,17,6,13,6
1222,raised,112,18,21,4,23,3
1223,remarkable,111,30,17,6,27,8
1224,wholly,51,20,14,1,8,3
1225,last,507,119,83,18,103,14
1226,aristocratic,71,16,15,4,12,1
1227,critical,421,101,68,19,92,17
1228,whatever,89,23,19,5,8,3
1229,product,70,21,9,6,19,5
1230,overview,511,22,67,3,138,3
1231,effects,105,19,16,2,23,4
1232,stress,75,12,7,3,16,2
1233,thinks,104,23,21,4,18,3
1234,format,97,25,9,2,20,6
1235,new,1638,254,262,43,352,42
1236,fully,193,66,29,10,47,16
1237,greeks,211,68,41,12,29,6
1238,sum,210,26,33,2,47,8
1239,saying,86,17,17,3,13,2
1240,print,87,11,16,0,26,4
1241,says,249,59,47,14,28,7
1242,start,137,26,29,5,25,3
1243,compared,82,21,14,1,20,5
1244,challenging,83,11,8,2,24,2
1245,opportunity,127,21,25,6,29,4
1246,51,48,18,11,3,12,4
1247,inscription,136,23,27,8,27,4
1248,century,848,174,132,24,157,40
1249,sophisticated,105,22,15,5,23,3
1250,appears,277,105,47,19,51,20
1251,text,2234,732,371,132,489,154
1252,translator,74,25,16,5,12,3
1253,feature,199,29,32,5,41,5
1254,insists,71,10,18,2,13,2
1255,follow,266,67,42,6,57,13
1256,sentences,58,32,4,4,11,4
1257,achieved,69,8,12,3,13,0
1258,accents,11,27,0,6,4,9
1259,use,1455,376,229,75,320,70
1260,supported,99,12,13,1,26,4
1261,alcibiades,42,21,9,9,10,1
1262,quite,688,147,117,23,103,25
1263,apart,134,61,27,4,34,14
1264,major,380,141,67,26,77,25
1265,view,954,269,177,44,194,54
1266,maps,220,36,30,6,59,6
1267,address,117,29,17,7,25,5
1268,behavior,93,22,16,5,14,4
1269,genuine,81,29,12,11,22,4
1270,renaissance,147,20,22,5,31,4
1271,area,282,32,48,7,70,5
1272,narrator,41,19,8,2,5,4
1273,population,82,22,7,8,17,4
1274,stand,80,26,13,2,16,7
1275,remains,375,146,63,22,76,38
1276,apparent,117,68,18,6,17,16
1277,victory,62,21,10,7,15,3
1278,readership,88,15,19,0,22,2
1279,royal,83,9,13,2,23,1
1280,research,645,75,99,15,187,21
1281,region,165,14,26,0,42,3
1282,fairly,115,31,21,3,16,7
1283,43,54,27,19,8,7,6
1284,f.,312,76,55,21,11,0
1285,boundaries,79,18,15,3,22,6
1286,hero,98,44,19,18,23,1
1287,portrait,89,15,15,3,17,3
1288,added,115,40,19,10,22,7
1289,ii,295,74,35,17,51,19
1290,famous,196,48,31,8,40,10
1291,inclusion,151,36,22,8,36,11
1292,form,567,113,119,19,121,19
1293,imperial,382,71,79,9,88,22
1294,turning,45,19,7,5,11,1
1295,32,45,25,8,2,13,4
1296,partly,91,16,15,5,23,5
1297,sanctuary,88,15,18,2,14,5
1298,detailed,621,72,98,14,143,9
1299,even,1738,481,271,85,317,74
1300,certainly,557,99,92,27,115,19
1301,impact,110,17,12,0,28,6
1302,aesthetic,74,12,13,1,20,0
1303,sextus,67,21,9,8,11,1
1304,themes,301,50,41,7,79,6
1305,food,90,16,14,4,20,3
1306,sign,58,20,8,5,17,5
1307,table,241,45,28,3,69,7
1308,water,70,15,10,1,17,3
1309,aristotelian,88,18,8,4,21,4
1310,considerable,144,39,31,8,25,6
1311,distinct,73,26,7,1,18,4
1312,creates,29,17,2,1,8,4
1313,coming,85,17,14,3,13,2
1314,and/or,79,28,20,3,16,4
1315,many,1970,488,306,105,402,101
1316,selection,196,35,31,6,52,11
1317,displays,57,21,3,0,11,6
1318,der,165,35,43,9,29,8
1319,leading,92,17,15,4,21,3
1320,additions,62,19,10,5,16,4
1321,fifth-century,69,8,14,0,11,0
1322,model,369,60,59,11,82,15
1323,highest,72,8,9,1,18,2
1324,myth,285,89,41,23,43,12
1325,treatments,79,16,11,1,17,3
1326,father,108,27,30,3,7,5
1327,obscure,79,32,8,8,22,4
1328,53,28,24,4,4,5,8
1329,task,151,21,19,4,33,3
1330,parmenides,70,24,8,5,12,3
1331,type,187,50,23,12,45,12
1332,engaged,85,8,10,1,26,2
1333,sorts,41,21,6,3,9,6
1334,fewer,22,18,4,3,5,0
1335,definitions,75,13,14,0,17,3
1336,conflict,86,29,16,6,12,3
1337,groups,128,25,23,4,24,6
1338,weight,42,20,13,2,4,2
1339,individuals,107,31,16,8,19,7
1340,free,123,126,13,16,26,36
1341,albeit,70,15,10,2,21,3
1342,insignificant,10,22,2,3,2,5
1343,centuries,210,33,39,5,46,8
1344,emendations,42,22,4,4,7,3
1345,omit,20,18,4,3,4,3
1346,might,1386,316,237,53,277,64
1347,comes,237,62,40,12,46,9
1348,v.,164,44,34,15,15,5
1349,anything,160,50,31,10,31,10
1350,wrong,125,57,17,12,19,10
1351,historians,303,72,55,11,71,14
1352,teaching,209,18,28,5,62,6
1353,degree,128,48,18,8,22,7
1354,developments,116,20,26,5,27,3
1355,t8,116,47,17,10,19,11
1356,rejects,76,20,11,5,17,2
1357,somewhat,286,121,47,23,57,25
1358,consulted,44,17,10,4,7,2
1359,polis,164,33,30,5,27,6
1360,orator,48,18,10,7,9,3
1361,back,262,84,46,18,46,12
1362,coverage,71,13,13,1,19,2
1363,seems,857,423,166,79,149,76
1364,attic,132,32,25,8,18,3
1365,quality,383,80,58,9,97,18
1366,games,65,23,9,2,1,3
1367,across,101,31,6,4,29,12
1368,chronological,216,28,31,2,47,3
1369,european,82,16,12,6,27,2
1370,martial,82,20,12,4,7,0
1371,every,394,94,70,14,78,18
1372,systematic,106,31,13,5,28,6
1373,standard,259,60,60,6,50,10
1374,examines,131,33,17,7,40,7
1375,serves,152,17,26,2,36,2
1376,avoid,88,46,16,13,14,10
1377,12,174,55,19,16,31,6
1378,kings,69,15,10,1,13,1
1379,unfortunately,145,93,20,16,29,23
1380,four,326,88,45,11,77,20
1381,editing,81,70,15,12,20,19
1382,’,40,20,0,0,38,20
1383,volumes,216,38,35,6,42,11
1384,grammar,126,35,10,0,32,9
1385,manuscript,181,61,17,16,39,8
1386,main,484,125,85,29,108,30
1387,emphasis,245,49,34,9,56,14
1388,'to,53,17,8,2,7,1
1389,roman,2366,419,377,61,512,77
1390,4,698,200,105,33,152,47
1391,translates,77,24,9,3,16,6
1392,polybius,65,22,10,2,13,0
1393,aimed,99,19,14,1,24,9
1394,additional,118,25,15,6,22,4
1395,b,397,100,87,18,21,3
1396,music,81,16,19,3,14,7
1397,greece,316,64,50,6,55,8
1398,n6,208,52,39,8,41,14
1399,necessary,256,59,45,7,47,18
1400,numbers,144,49,23,8,25,10
1401,command,95,16,12,3,21,3
1402,associated,139,24,25,3,26,8
1403,presented,402,88,68,9,91,27
1404,implications,141,23,24,7,35,5
1405,proposes,79,16,11,2,16,6
1406,holds,69,8,19,2,14,3
1407,active,76,14,8,1,10,4
1408,middle,219,40,29,8,48,4
1409,aims,143,21,23,5,36,6
1410,stated,92,35,14,3,18,7
1411,event,65,20,10,3,10,5
1412,translation,1422,284,280,28,276,67
1413,bibliographical,102,35,18,7,18,10
1414,euripides,227,38,54,9,28,7
1415,thesis,230,71,40,17,43,12
1416,prior,85,12,12,2,22,2
1417,occasional,89,74,13,13,10,11
1418,scholia,72,17,4,1,18,2
1419,shown,117,48,16,10,17,6
1420,treats,70,17,12,1,16,4
1421,beyond,330,66,61,16,68,11
1422,summary,449,37,70,3,97,5
1423,ovid’s,23,17,0,0,19,15
1424,epigraphic,139,21,26,4,29,2
1425,considerations,70,12,8,3,15,1
1426,typically,53,18,7,1,11,5
1427,proves,75,13,11,2,11,3
1428,notice,57,18,12,0,11,3
1429,international,74,13,12,4,17,3
1430,single,357,79,64,15,81,9
1431,authors,796,173,120,23,181,47
1432,traditions,158,37,17,4,27,10
1433,philosophers,156,25,25,3,39,5
1434,subsequent,101,43,14,6,26,13
1435,lead,147,47,27,5,24,8
1436,aim,170,31,26,4,48,3
1437,forward,109,24,12,6,27,4
1438,dealing,153,28,21,9,30,6
1439,'this,184,28,28,3,41,8
1440,shape,82,11,10,3,17,2
1441,27,57,36,9,3,10,9
1442,ideological,75,17,12,5,22,6
1443,moves,69,13,10,2,15,4
1444,description,327,71,56,16,65,16
1445,immediately,80,32,14,4,14,5
1446,composition,142,31,23,3,31,5
1447,care,95,20,20,2,21,4
1448,suggested,110,44,23,9,18,4
1449,impression,144,47,28,8,28,9
1450,apollo,68,22,11,4,12,1
1451,importantly,59,22,7,4,13,3
1452,photographs,223,25,36,4,51,6
1453,essential,199,29,26,3,45,6
1454,michael,66,19,9,7,19,2
1455,suggest,179,56,46,14,28,11
1456,topic,448,46,81,6,122,12
1457,footnote,56,48,12,10,7,14
1458,closer,94,26,11,6,21,7
1459,later,612,136,90,34,125,27
1460,applied,106,11,22,0,14,1
1461,reflection,95,21,18,5,20,4
1462,observes,151,18,25,2,32,4
1463,languages,150,31,16,4,42,9
1464,namely,155,39,24,4,34,5
1465,issues,654,78,101,13,154,20
1466,considered,250,74,42,17,71,12
1467,may,1674,526,294,83,317,107
1468,important,1242,276,199,64,262,43
1469,though,1325,321,231,53,231,56
1470,spartans,27,18,14,5,1,1
1471,precise,128,28,23,7,34,7
1472,certain,411,141,85,33,75,25
1473,connection,220,50,38,10,53,4
1474,narratives,105,18,18,1,27,4
1475,br/,79,30,13,1,19,9
1476,life,920,121,139,17,195,23
1477,oratory,87,18,24,1,9,2
1478,source,481,105,71,10,109,18
1479,claim,334,113,51,17,68,20
1480,foundation,99,14,18,1,31,2
1481,intellectual,246,39,22,6,64,10
1482,71,34,28,6,5,3,4
1483,reservations,71,4,21,2,15,0
1484,worth,183,35,24,8,38,5
1485,wish,144,37,27,10,25,5
1486,egypt,223,21,51,4,52,5
1487,states,235,54,36,5,49,15
1488,episode,86,19,16,3,15,5
1489,martin,83,13,24,4,11,2
1490,corrected,38,89,6,15,7,19
1491,preference,57,19,18,3,13,4
1492,principle,134,37,21,10,31,4
1493,looking,144,30,17,5,34,5
1494,assumed,68,14,15,2,11,2
1495,si,28,22,3,2,8,1
1496,way,1127,251,205,47,211,46
1497,well,2120,394,297,74,482,74
1498,master,78,19,21,5,22,3
1499,catullus,111,29,16,6,11,4
1500,tone,77,19,12,3,14,3
1501,medical,116,25,22,3,19,5
1502,covered,100,14,15,1,27,3
1503,death,267,59,49,13,39,10
1504,poems,336,60,59,6,45,7
1505,139,18,18,0,4,4,2
1506,respectively,72,16,13,4,15,2
1507,t9,97,39,17,3,15,5
1508,lacks,62,18,9,5,14,4
1509,broad,168,29,24,6,49,4
1510,deny,44,20,13,0,2,5
1511,tacitus,149,38,40,7,17,5
1512,28,52,34,9,6,14,7
1513,place,594,127,101,27,106,29
1514,close,335,53,53,13,66,3
1515,texts,1404,221,207,47,313,47
1516,problem,385,119,69,22,80,15
1517,problematic,146,52,28,3,32,15
1518,drawings,132,15,25,2,34,4
1519,tries,73,27,14,5,18,9
1520,accordingly,35,18,7,6,7,3
1521,everything,108,33,19,8,19,4
1522,except,102,43,16,6,20,4
1523,central,285,74,49,11,68,17
1524,ground,137,25,29,6,27,3
1525,typographical,75,539,6,52,20,126
1526,alexandrian,69,17,6,7,10,1
1527,principles,112,41,23,6,19,8
1528,growing,93,23,18,2,20,4
1529,remarks,317,37,67,6,52,6
1530,neglected,96,18,13,3,25,4
1531,solely,45,19,6,2,17,7
1532,recent,760,141,131,22,175,30
1533,probably,368,89,63,18,65,13
1534,2002,68,10,3,0,7,2
1535,could,1337,318,210,51,274,70
1536,exception,84,28,17,3,21,11
1537,engaging,126,22,7,3,39,2
1538,???,32,18,13,5,5,8
1539,lengthy,78,33,10,5,15,9
1540,representations,98,15,12,2,24,6
1541,translate,53,20,9,5,11,2
1542,criteria,76,28,18,8,15,6
1543,attempts,188,59,34,6,39,15
1544,age,336,74,37,14,86,13
1545,audience,490,112,111,24,97,22
1546,methodology,107,24,14,6,22,5
1547,substantial,126,29,25,5,25,5
1548,''the,640,141,53,13,225,50
1549,jewish,141,27,21,7,24,7
1550,concluding,125,21,21,2,29,6
1551,small,268,108,40,18,58,21
1552,matters,237,63,47,15,45,12
1553,either,336,137,67,30,54,20
1554,preface,189,37,31,6,26,5
1555,serious,206,135,48,32,33,13
1556,conclusion,485,86,86,15,108,16
1557,serve,246,25,50,7,49,5
1558,composed,68,14,16,2,13,4
1559,grounds,98,31,22,8,12,5
1560,reasoning,55,25,8,5,9,9
1561,brackets,23,18,6,6,4,1
1562,real,277,72,45,13,45,11
1563,diversity,71,8,11,1,18,1
1564,corrections,40,24,6,6,8,8
1565,historian,147,32,22,4,22,8
1566,author,1038,291,170,48,230,52
1567,absence,142,92,24,23,28,18
1568,pity,75,23,18,6,7,2
1569,perspective,244,58,24,12,53,15
1570,geographical,113,18,13,4,26,4
1571,understand,288,82,51,14,52,21
1572,thucydides,236,71,63,13,23,12
1573,verse,112,27,22,7,21,6
1574,derived,68,18,11,4,11,6
1575,members,92,15,12,3,19,2
